Surveyor,Route,Cross(%),Latitude,Longitude,GPStime
joey,Cross & Running,2.8,34.08721618177787,-117.6882207302323,06/10/2022 11:06:26:AM
joey,Cross & Running,3.8,34.08722538009026,-117.6882181339149,06/10/2022 11:06:25:AM
joey,Cross & Running,4.8,34.08723143276514,-117.6882117841574,06/10/2022 11:06:24:AM
joey,Cross & Running,4.7,34.08724295421151,-117.6881998942445,06/10/2022 11:06:23:AM
joey,Cross & Running,4.2,34.08725451216487,-117.6882092750573,06/10/2022 11:06:22:AM
joey,Cross & Running,2.7,34.08725941641174,-117.6882072978078,06/10/2022 11:06:21:AM
joey,Cross & Running,1.3,34.08726346707836,-117.6882020301925,06/10/2022 11:06:20:AM
joey,Cross & Running,0.9,34.08727078208209,-117.6882047304617,06/10/2022 11:06:19:AM
joey,Cross & Running,0.5,34.0872916476287,-117.6882004429832,06/10/2022 11:06:18:AM
joey,Cross & Running,0.9,34.08728998543474,-117.6882078109892,06/10/2022 11:06:17:AM
joey,Cross & Running,1,34.08729111152658,-117.6882058585342,06/10/2022 11:06:16:AM
joey,Cross & Running,0.9,34.08729923945286,-117.6881995366958,06/10/2022 11:06:15:AM
joey,Cross & Running,0.4,34.08731094953317,-117.6881924402132,06/10/2022 11:06:14:AM
joey,Cross & Running,1.5,34.0873317218033,-117.6881879081415,06/10/2022 11:06:13:AM
joey,Cross & Running,2,34.08734330507098,-117.6881843834973,06/10/2022 11:06:12:AM
joey,Cross & Running,2.1,34.08734411257706,-117.6881847100834,06/10/2022 11:06:11:AM
joey,Cross & Running,1.9,34.08735394427889,-117.688182826159,06/10/2022 11:06:10:AM
joey,Cross & Running,1.5,34.08736289976751,-117.6881797993781,06/10/2022 11:06:09:AM
joey,Cross & Running,1.4,34.08731376007187,-117.688119868458,06/10/2022 11:06:04:AM
joey,Cross & Running,1.4,34.08731376007187,-117.688119868458,06/10/2022 11:06:02:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:56:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:54:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:47:AM
joey,Cross & Running,1.4,34.08731376007187,-117.688119868458,06/10/2022 11:05:46:AM
joey,Cross & Running,1.4,34.08731376007187,-117.688119868458,06/10/2022 11:05:45:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:42:AM
joey,Cross & Running,1.5,34.08731376007187,-117.688119868458,06/10/2022 11:05:41:AM
joey,Cross & Running,1.8,34.08731376007187,-117.688119868458,06/10/2022 11:05:39:AM
joey,Cross & Running,1.8,34.08731376007187,-117.688119868458,06/10/2022 11:05:38:AM
joey,Cross & Running,1.6,34.08731376007187,-117.688119868458,06/10/2022 11:05:36:AM
joey,Cross & Running,1.6,34.08731387904845,-117.688120676764,06/10/2022 11:05:35:AM
joey,Cross & Running,1.5,34.08731133041813,-117.6881204947139,06/10/2022 11:05:34:AM
joey,Cross & Running,1.4,34.08731222333474,-117.6881192812021,06/10/2022 11:05:33:AM
joey,Cross & Running,1.8,34.08731214876662,-117.6881182312519,06/10/2022 11:05:32:AM
joey,Cross & Running,1.4,34.0873085927803,-117.6881109249981,06/10/2022 11:05:31:AM
joey,Cross & Running,1.9,34.08730990221741,-117.6881131179692,06/10/2022 11:05:30:AM
joey,Cross & Running,1.9,34.0873222683287,-117.6881024340496,06/10/2022 11:05:29:AM
joey,Cross & Running,1.4,34.08732944422228,-117.6881028367761,06/10/2022 11:05:28:AM
joey,Cross & Running,1.5,34.08749799877936,-117.6881446125256,06/10/2022 11:05:23:AM
joey,Cross & Running,1.5,34.08749799877936,-117.6881446125256,06/10/2022 11:05:22:AM
joey,Cross & Running,1.4,34.08749799877936,-117.6881446125256,06/10/2022 11:05:20:AM
joey,Cross & Running,1.4,34.08749799877936,-117.6881446125256,06/10/2022 11:05:19:AM
joey,Cross & Running,1.3,34.08749799877936,-117.6881446125256,06/10/2022 11:05:18:AM
joey,Cross & Running,1.3,34.08749799877936,-117.6881446125256,06/10/2022 11:05:17:AM
joey,Cross & Running,1.3,34.08749799877936,-117.6881446125256,06/10/2022 11:05:16:AM
joey,Cross & Running,1,34.08749799877936,-117.6881446125256,06/10/2022 11:05:10:AM
joey,Cross & Running,0.9,34.08749719664022,-117.6881424271334,06/10/2022 11:05:09:AM
joey,Cross & Running,1,34.08750853346555,-117.6881266927656,06/10/2022 11:05:08:AM
joey,Cross & Running,0.8,34.08751112304874,-117.6881242128392,06/10/2022 11:05:07:AM
joey,Cross & Running,0.4,34.08751604174293,-117.6881134890324,06/10/2022 11:05:06:AM
joey,Cross & Running,0.6,34.08752471111356,-117.6881086223481,06/10/2022 11:05:05:AM
joey,Cross & Running,0.8,34.08754230401875,-117.6881005535482,06/10/2022 11:05:04:AM
joey,Cross & Running,0.8,34.08755011859819,-117.6880953750938,06/10/2022 11:05:03:AM
joey,Cross & Running,1.8,34.08755279669324,-117.6880910735096,06/10/2022 11:05:02:AM
joey,Cross & Running,4.5,34.08755946382526,-117.688092733472,06/10/2022 11:05:01:AM
joey,Cross & Running,2.4,34.0875619629944,-117.6880899163593,06/10/2022 11:05:00:AM
joey,Cross & Running,0.3,34.08755761204552,-117.6880943622618,06/10/2022 11:04:59:AM
joey,Cross & Running,0,34.08756475512572,-117.6881008311854,06/10/2022 11:04:57:AM
joey,Cross & Running,-0.1,34.08756641340165,-117.6881020953037,06/10/2022 11:04:56:AM
joey,Cross & Running,-0.5,34.08756778275418,-117.6880980991391,06/10/2022 11:04:55:AM
joey,Cross & Running,-1,34.08756979733103,-117.6881092622848,06/10/2022 11:04:54:AM
joey,Cross & Running,-1.2,34.08757101867246,-117.6881069398677,06/10/2022 11:04:53:AM
joey,Cross & Running,-1.2,34.08757098936944,-117.6881042315934,06/10/2022 11:04:52:AM
joey,Cross & Running,-1.3,34.08756982325364,-117.6881024990259,06/10/2022 11:04:51:AM
joey,Cross & Running,-1.3,34.08759524638438,-117.6880555312928,06/10/2022 11:04:34:AM
joey,Cross & Running,-1.3,34.08759524638438,-117.6880555312928,06/10/2022 11:04:33:AM
joey,Cross & Running,-1.4,34.08759524638438,-117.6880555312928,06/10/2022 11:04:30:AM
joey,Cross & Running,-1.4,34.08759561734627,-117.6880553302747,06/10/2022 11:04:29:AM
joey,Cross & Running,-1.4,34.08757639766358,-117.6880849951123,06/10/2022 11:04:28:AM
joey,Cross & Running,-1.4,34.08757639766358,-117.6880849951123,06/10/2022 11:04:27:AM
joey,Cross & Running,-1.4,34.08757639766358,-117.6880849951123,06/10/2022 11:04:25:AM
joey,Cross & Running,-1.4,34.08757639766358,-117.6880849951123,06/10/2022 11:04:24:AM
joey,Cross & Running,-1.4,34.08757639766358,-117.6880849951123,06/10/2022 11:04:23:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:21:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:20:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:19:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:18:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:16:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:15:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:14:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:11:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:10:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:04:09:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:38:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:31:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:29:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:22:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:21:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:11:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:10:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:09:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:08:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:06:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:05:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:04:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:03:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:02:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:01:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:02:00:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:59:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:58:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:57:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:56:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:55:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:54:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:53:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:52:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:51:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:50:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:49:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:48:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:47:AM
joey,Cross & Running,-1.4,34.08757639766358,-117.6880849951123,06/10/2022 11:01:46:AM
joey,Cross & Running,-1.4,34.08757639766358,-117.6880849951123,06/10/2022 11:01:45:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:44:AM
joey,Cross & Running,-1.5,34.08757639766358,-117.6880849951123,06/10/2022 11:01:43:AM
